dimension,mutation rate,cross over rate,pxa,pxb,pxc,pxp
34,0.6,0.7,0.1936,0.23941,0.30585,0.26114
,,,,,,
34,1,0.7,0.19242,0.19338,0.30737,0.30683
,,,,,,
35,0.2,0.1,0.24323,0.25287,0.26002,0.24388
,,,,,,
35,0.6,0.1,0.24001,0.24948,0.25811,0.2524
,,,,,,
35,1,0.1,0.24143,0.24214,0.2588,0.25763
,,,,,,
35,0.2,0.4,0.2169,0.26955,0.28398,0.22957
,,,,,,
35,0.6,0.4,0.21685,0.24398,0.28376,0.25541
,,,,,,
35,1,0.4,0.21618,0.21495,0.28338,0.28549
,,,,,,
35,0.2,0.7,0.18885,0.28878,0.30853,0.21384
,,,,,,
35,0.6,0.7,0.19171,0.23894,0.30994,0.25941
,,,,,,
35,1,0.7,0.19093,0.19341,0.30862,0.30704
,,,,,,
36,0.2,0.1,0.24094,0.2566,0.25985,0.24261
,,,,,,
36,0.6,0.1,0.2421,0.24936,0.25748,0.25106
,,,,,,
36,1,0.1,0.24025,0.24278,0.25817,0.2588
,,,,,,
36,0.2,0.4,0.21463,0.27095,0.28495,0.22947
,,,,,,
36,0.6,0.4,0.21628,0.24368,0.28291,0.25713
,,,,,,
36,1,0.4,0.21614,0.21736,0.28362,0.28288
,,,,,,
36,0.2,0.7,0.19158,0.28596,0.30677,0.21569
,,,,,,
36,0.6,0.7,0.19337,0.23935,0.30733,0.25995
,,,,,,
36,1,0.7,0.19043,0.19263,0.30947,0.30747
,,,,,,
37,0.2,0.1,0.24007,0.25746,0.25722,0.24525
,,,,,,
37,0.6,0.1,0.242,0.24814,0.25796,0.2519
,,,,,,
37,1,0.1,0.24056,0.24087,0.25962,0.25895
,,,,,,
37,0.2,0.4,0.21553,0.27347,0.28009,0.23091
,,,,,,
37,0.6,0.4,0.2179,0.24273,0.28394,0.25543
,,,,,,
37,1,0.4,0.21628,0.21681,0.28223,0.28468
,,,,,,
37,0.2,0.7,0.19289,0.28523,0.30567,0.21621
,,,,,,
37,0.6,0.7,0.19391,0.23934,0.30735,0.2594
,,,,,,
37,1,0.7,0.19177,0.19243,0.30957,0.30623
,,,,,,
38,0.2,0.1,0.24381,0.25451,0.2573,0.24438
,,,,,,
38,0.6,0.1,0.24169,0.25033,0.25743,0.25055
,,,,,,
38,1,0.1,0.24053,0.24368,0.25834,0.25745
,,,,,,
38,0.2,0.4,0.21253,0.27051,0.28349,0.23347
,,,,,,
38,0.6,0.4,0.21469,0.24363,0.28223,0.25945
,,,,,,
38,1,0.4,0.21729,0.21787,0.28144,0.2834
,,,,,,
38,0.2,0.7,0.19241,0.28666,0.30748,0.21345
,,,,,,
38,0.6,0.7,0.1918,0.23674,0.30857,0.26289
,,,,,,
38,1,0.7,0.19253,0.18788,0.30994,0.30965
,,,,,,
39,0.2,0.1,0.24183,0.25391,0.26053,0.24373
,,,,,,
39,0.6,0.1,0.24316,0.24626,0.25979,0.25079
,,,,,,
39,1,0.1,0.24094,0.23992,0.25972,0.25942
,,,,,,
39,0.2,0.4,0.21996,0.26779,0.28443,0.22782
,,,,,,
39,0.6,0.4,0.21814,0.2439,0.28398,0.25398
,,,,,,
39,1,0.4,0.21906,0.21854,0.28197,0.28043
,,,,,,
39,0.2,0.7,0.19267,0.28539,0.30791,0.21403
,,,,,,
39,0.6,0.7,0.19283,0.23617,0.30836,0.26264
,,,,,,
39,1,0.7,0.19333,0.19166,0.30793,0.30708
,,,,,,
40,0.2,0.1,0.24028,0.25683,0.25972,0.24317
,,,,,,
40,0.6,0.1,0.24154,0.24762,0.25897,0.25187
,,,,,,
40,1,0.1,0.24107,0.24038,0.26044,0.25811
,,,,,,
40,0.2,0.4,0.21637,0.27072,0.28491,0.228
,,,,,,
40,0.6,0.4,0.21676,0.24354,0.28122,0.25848
,,,,,,
40,1,0.4,0.21451,0.21683,0.28244,0.28622
,,,,,,
40,0.2,0.7,0.19083,0.28449,0.30978,0.2149
,,,,,,
40,0.6,0.7,0.19354,0.23741,0.30845,0.2606
,,,,,,
40,1,0.7,0.18943,0.19226,0.31016,0.30815
,,,,,,
41,0.2,0.1,0.24097,0.25592,0.2584,0.24471
,,,,,,
41,0.6,0.1,0.24077,0.24929,0.25758,0.25236
,,,,,,
41,1,0.1,0.24269,0.23989,0.25957,0.25785
,,,,,,
41,0.2,0.4,0.21657,0.27043,0.28337,0.22963
,,,,,,
41,0.6,0.4,0.21571,0.24221,0.28335,0.25873
,,,,,,
41,1,0.4,0.21512,0.21463,0.28443,0.28582
,,,,,,
41,0.2,0.7,0.19115,0.28695,0.30761,0.21429
,,,,,,
41,0.6,0.7,0.19255,0.23831,0.30767,0.26147
,,,,,,
41,1,0.7,0.19152,0.19219,0.30646,0.30983
,,,,,,
42,0.2,0.1,0.2411,0.25483,0.25799,0.24608
,,,,,,
42,0.6,0.1,0.24218,0.24825,0.25798,0.25159
,,,,,,
42,1,0.1,0.24284,0.2399,0.25746,0.2598
,,,,,,
42,0.2,0.4,0.21466,0.27058,0.28527,0.22949
,,,,,,
42,0.6,0.4,0.21697,0.2432,0.28266,0.25717
,,,,,,
42,1,0.4,0.21577,0.21754,0.28245,0.28424
,,,,,,
42,0.2,0.7,0.19178,0.28521,0.30919,0.21382
,,,,,,
42,0.6,0.7,0.19045,0.23702,0.30917,0.26336
,,,,,,
42,1,0.7,0.19085,0.19125,0.30794,0.30996
,,,,,,
43,0.2,0.1,0.24245,0.25371,0.25599,0.24785
,,,,,,
43,0.6,0.1,0.24381,0.25021,0.25665,0.24933
,,,,,,
43,1,0.1,0.24162,0.24228,0.25849,0.25761
,,,,,,
43,0.2,0.4,0.21359,0.27251,0.28204,0.23186
,,,,,,
